id,brand,model,year,price
785,Toyota,4Runner,2017,12643
786,Ford,Fiesta,2021,16263
787,Subaru,BRZ,2019,17863
788,Kia,Optima,2022,14449
789,Peugeot,208,2021,12784
790,Land Rover,Freelander,2011,5000
791,Mitsubishi,Outlander,2021,18300
792,Lexus,ES,2015,12895
793,Land Rover,Range Rover,2023,47130
794,Hyundai,Palisade,2019,10717
795,Fiat,Ducato,2023,12282
796,Hyundai,Elantra,2024,19992
797,Volkswagen,ID.4,2016,8076
798,Nissan,Sentra,2011,5000
799,BMW,330i,2020,33566
800,Peugeot,Expert,2017,7977
801,Nissan,Versa,2014,5000
802,Mitsubishi,ASX,2018,11485
803,Subaru,Crosstrek,2022,23550
804,Dodge,Nitro,2017,11701
805,Acura,ILX,2016,14163
806,Mazda,CX-30,2017,9755
807,Hyundai,Venue,2022,13934
808,Mazda,CX-5,2017,10734
809,Mazda,Mazda2,2018,10305
810,Lexus,RX,2023,33547
811,Land Rover,Discovery Sport,2010,5000
812,Honda,Civic,2010,5000
813,Land Rover,Discovery,2016,23231
814,Ford,F-150,2014,5000
815,Fiat,Palio,2010,5000
816,Mazda,CX-3,2022,16087
817,Subaru,Ascent,2016,10083
818,Peugeot,3008,2014,5000
819,Citroën,DS4,2015,5000
820,Citroën,C3,2020,11610
821,Citroën,DS4,2014,5000
822,Acura,Legend,2023,39199
823,Hyundai,Sonata,2021,14057
824,Dodge,Viper,2020,20473
825,Mercedes-Benz,GLS,2016,19882
826,Audi,Q5,2015,11258
827,Subaru,Outback,2024,22952
828,Dodge,Nitro,2016,10868
829,Mazda,MX-5 Miata,2020,12833
830,Peugeot,5008,2019,10972
831,Hyundai,Kona,2016,6313
832,Kia,Soul,2023,18496
833,Audi,R8,2022,35285
834,Infiniti,Q50,2016,16078
835,Volvo,V40,2019,26705
836,Subaru,BRZ,2016,8894
837,Lexus,GS,2020,29642
838,Mazda,CX-30,2016,8396
839,Volvo,XC40,2016,12149
840,Infiniti,Q50,2022,33566
841,Subaru,Ascent,2014,5000
842,Kia,Rio,2017,7775
843,Honda,Civic,2011,5000
844,Kia,Telluride,2012,5000
845,Nissan,Rogue,2013,5000
846,Renault,Kwid,2022,11741
847,Subaru,Legacy,2013,5000
848,Jeep,Gladiator,2015,9393
849,Fiat,Toro,2016,5000
850,Volkswagen,Beetle,2020,12161
851,Peugeot,508,2015,5000
852,Toyota,Hilux,2012,5000
853,Volvo,S90,2019,21379
854,Hyundai,Elantra,2012,5000
855,Kia,Soul,2012,5000
856,BMW,330i,2013,5000
857,Land Rover,Evoque,2012,5000
858,Renault,Fluence,2013,5000
859,Audi,A8,2018,27263
860,Jeep,Grand Cherokee,2019,17842
861,Fiat,Strada,2013,5000
862,Volvo,V60,2024,34225
863,Kia,Stinger,2022,14769
864,Mazda,Mazda6,2021,16078
865,Jeep,Grand Cherokee,2012,5000
866,Kia,Seltos,2017,7722
867,Audi,Q8,2020,28983
868,Renault,Fluence,2013,5000
869,Honda,Ridgeline,2012,5000
870,Toyota,4Runner,2012,5000
871,Ford,Edge,2016,8557
872,Hyundai,Veloster,2016,6911
873,Honda,Odyssey,2017,9379
874,Nissan,Altima,2016,7567
875,Hyundai,Palisade,2017,7150
876,Mazda,CX-5,2015,5962
877,Acura,MDX,2011,5000
878,Lexus,GS,2019,26286
879,Volvo,V90,2017,17863
880,Volvo,XC60,2011,5000
881,Peugeot,2008,2014,5000
882,Citroën,C3,2013,5000
883,BMW,740i,2014,9390
884,Kia,Optima,2012,5000
885,Mercedes-Benz,GLC,2024,52888
886,Citroën,Berlingo,2021,13433
887,Chevrolet,Silverado,2016,8216
888,Acura,RSX,2013,5000
889,Infiniti,Q50,2018,21548
890,Mitsubishi,Pajero,2012,5000
891,Volkswagen,Arteon,2013,5000
892,Volkswagen,Arteon,2014,5000
893,Jeep,Wrangler,2013,5000
894,Toyota,Hilux,2019,17214
895,Acura,Integra,2012,5000
896,Kia,Sportage,2020,12354
897,Infiniti,Q60,2018,18102
898,Chevrolet,Suburban,2011,5000
899,Honda,Passport,2013,5000
900,Kia,Soul,2023,14667
901,Hyundai,Sonata,2023,16535
902,Peugeot,508,2018,9634
903,BMW,X1,2011,5000
904,Toyota,Prius,2010,5000
905,Peugeot,208,2024,16051
906,Mitsubishi,L200,2012,5000
907,Jeep,Renegade,2024,28101
908,Ford,Expedition,2016,9237
909,Toyota,Prius,2014,5043
910,Dodge,Challenger,2022,26473
911,Infiniti,M35,2021,31084
912,Ford,Fusion,2017,10331
913,Peugeot,Expert,2011,5000
914,Lexus,RX,2010,5000
915,Volvo,V60,2021,29389
916,Land Rover,Discovery Sport,2023,57962
917,Kia,Telluride,2020,10920
918,Mercedes-Benz,GLC,2018,23286
919,Chevrolet,Suburban,2022,20798
920,Nissan,Murano,2023,17038
921,Acura,Legend,2015,11442
922,Dodge,Ram 1500,2014,5000
923,Mazda,CX-30,2015,5824
924,Lexus,UX,2023,39255
925,Ford,Explorer,2010,5000
926,Kia,Telluride,2011,5000
927,Audi,A3,2016,16435
928,Chevrolet,Malibu,2013,5000
929,Mercedes-Benz,S-Class,2024,54440
930,Infiniti,G35,2013,5250
931,Mitsubishi,Montero,2019,12182
932,Subaru,Tribeca,2011,5000
933,Kia,Rio,2016,5577
934,Kia,Optima,2018,8837
935,Fiat,Palio,2019,9977
936,Volkswagen,Golf,2023,21566
937,Audi,Q3,2020,30551
938,BMW,530i,2019,28224
939,Nissan,Maxima,2010,5000
940,Toyota,Avalon,2020,17479
941,Honda,Pilot,2015,6070
942,Lexus,NX,2021,35517
943,Lexus,RX,2013,5195
944,Infiniti,Q60,2014,8891
945,Subaru,Tribeca,2021,19562
946,BMW,320i,2024,47874
947,Lexus,GS,2016,14909
948,Mitsubishi,Outlander,2024,21587
949,Dodge,Grand Caravan,2023,25639
950,Mazda,RX-8,2014,5000
951,Volvo,C40,2011,5000
952,Volvo,S40,2022,30448
953,Acura,RLX,2017,15167
954,Acura,RLX,2013,5000
955,Jeep,Compass,2023,26628
956,Peugeot,408,2018,9296
957,Hyundai,Palisade,2019,12543
958,Citroën,C5 Aircross,2017,6704
959,Mazda,RX-8,2013,5000
960,Honda,Pilot,2014,5000
961,Volkswagen,ID.4,2017,8399
962,Lexus,RX,2017,15842
963,Chevrolet,Malibu,2024,24788
964,Peugeot,2008,2014,5000
965,Infiniti,QX80,2021,34054
966,Renault,Oroch,2011,5000
967,Renault,Captur,2022,12175
968,Fiat,500,2019,9896
969,Peugeot,Boxer,2012,5000
970,Peugeot,2008,2023,14905
971,Hyundai,Sonata,2018,10227
972,Nissan,Sentra,2014,5000
973,Peugeot,Expert,2022,14589
974,Nissan,Sentra,2013,5000
975,Mercedes-Benz,GLA,2013,5308
976,Land Rover,Discovery Sport,2018,28711
977,Ford,F-150,2020,15744
978,Volkswagen,Polo,2017,9644
979,Chevrolet,Blazer,2014,5000
980,Toyota,Yaris,2019,14636
981,Ford,Ranger,2017,9628
982,Lexus,RC,2015,13007
983,Dodge,Nitro,2021,19911
984,Nissan,Versa,2013,5000
985,Volvo,S60,2011,5000
986,Jeep,Gladiator,2010,5000
987,Acura,RLX,2016,11770
988,Chevrolet,Colorado,2016,7269
989,Audi,R8,2024,53389
990,Renault,Sandero,2014,5000
991,Dodge,Charger,2013,5000
992,Fiat,Strada,2011,5000
993,Volkswagen,Arteon,2018,11993
994,Fiat,500,2024,16822
995,Mitsubishi,L200,2016,8245
996,Nissan,Kicks,2019,10594
997,Lexus,RX,2017,17506
998,BMW,320i,2022,41474
999,BMW,530i,2018,21851
1000,Hyundai,Kona,2022,14554
1001,Nissan,Versa,2010,5000
1002,Toyota,Camry,2015,6328
1003,Jeep,Wagoneer,2015,7316
1004,Nissan,Versa,2021,17406
1005,Fiat,Mobi,2010,5000
1006,Infiniti,M35,2013,5302
1007,Ford,Edge,2020,13719
1008,Subaru,Legacy,2018,13903
1009,Renault,Oroch,2018,9486
1010,Volkswagen,Taos,2018,11469
1011,Nissan,Maxima,2021,15538
1012,Nissan,Murano,2013,5000
1013,Fiat,Mobi,2012,5000
1014,Kia,Stinger,2014,5000
1015,Toyota,Prius,2018,11878
1016,Subaru,Tribeca,2010,5000
1017,Mercedes-Benz,C-Class,2021,34383
1018,Mercedes-Benz,AMG GT,2015,13336
1019,Acura,Legend,2011,5000
1020,Volvo,V60,2024,41250
1021,Dodge,Charger,2024,29593
1022,Mitsubishi,Galant,2023,18777
1023,Toyota,Corolla,2017,9823
1024,Mercedes-Benz,CLA,2019,25632
1025,Kia,Carnival,2018,8339
1026,BMW,530i,2021,39261
1027,Hyundai,Veloster,2020,12530
1028,Fiat,Strada,2020,8709
1029,Volkswagen,Beetle,2021,14851
1030,Volkswagen,Golf,2022,18169
1031,Honda,Pilot,2022,21579
1032,Lexus,UX,2016,15256
1033,Dodge,Grand Caravan,2021,22721
1034,Kia,Seltos,2020,13671
1035,Hyundai,Elantra,2019,12868
1036,Jeep,Commander,2012,5000
1037,Nissan,Rogue,2013,5000
1038,Renault,Logan,2015,5000
1039,Toyota,RAV4,2017,12150
1040,Hyundai,Sonata,2017,7320
1041,Land Rover,Freelander,2012,5000
1042,Land Rover,LR2,2013,8064
1043,Jeep,Patriot,2019,19422
1044,Acura,RSX,2015,9948
1045,Infiniti,FX35,2013,5000
1046,Mercedes-Benz,AMG GT,2020,33850
1047,Audi,TT,2020,36516
1048,Audi,A6,2011,5000
1049,Mitsubishi,Mirage,2015,5993
1050,Citroën,DS4,2012,5000
1051,Dodge,Dart,2015,7732
1052,Nissan,Pathfinder,2019,12299
1053,Jeep,Gladiator,2021,24801
1054,Land Rover,Range Rover,2015,19280
1055,Ford,Mustang,2017,10856
1056,Citroën,Jumpy,2023,14316
1057,Fiat,Strada,2019,8191
1058,Mercedes-Benz,E-Class,2014,9281
1059,Hyundai,Tucson,2023,19882
1060,Subaru,Ascent,2013,5000
1061,Land Rover,Discovery Sport,2012,5000
1062,Subaru,WRX,2023,26437
1063,Citroën,Jumpy,2011,5000
1064,Audi,Q7,2023,41265
1065,Citroën,C3,2013,5000
1066,Honda,Insight,2016,8707
1067,Renault,Kwid,2012,5000
1068,BMW,X1,2021,34692
1069,Citroën,C4 Cactus,2018,7344
1070,Honda,Fit,2012,5000
1071,Jeep,Compass,2017,12299
1072,Subaru,Ascent,2015,7586
1073,Mitsubishi,3000GT,2015,5166
1074,Toyota,Tacoma,2022,18282
1075,Renault,Sandero,2012,5000
1076,Mitsubishi,Pajero,2020,15600
1077,Peugeot,Boxer,2020,13152
1078,Acura,RLX,2020,22943
1079,Volvo,XC60,2022,28873
1080,Citroën,C5 Aircross,2018,9814
1081,Subaru,Forester,2012,5000
1082,Peugeot,208,2014,5000
1083,Honda,Odyssey,2011,5000
1084,Kia,Seltos,2012,5000
1085,BMW,Z4,2015,13926
1086,Renault,Clio,2015,5000
1087,Subaru,Tribeca,2013,5000
1088,BMW,X1,2020,30219
1089,Citroën,DS3,2019,9976
1090,Citroën,C3,2012,5000
1091,Audi,TT,2016,17530
1092,Mazda,Mazda6,2019,15105
1093,Infiniti,QX50,2023,41507
1094,Mitsubishi,3000GT,2017,9993
1095,Chevrolet,Tahoe,2013,5000
1096,Nissan,Altima,2024,21358
1097,Toyota,Hilux,2011,5000
1098,Audi,A6,2020,36406
1099,Mazda,Mazda6,2013,5000
1100,Subaru,Ascent,2023,26347
1101,Kia,Telluride,2015,5087
1102,Subaru,Outback,2014,5208
1103,Peugeot,2008,2014,5000
1104,Nissan,Maxima,2013,5000
1105,BMW,X3,2019,24454
1106,Land Rover,Freelander,2012,5000
1107,BMW,M3,2020,31387
1108,Acura,RSX,2012,5000
1109,Land Rover,Velar,2015,18637
1110,Volvo,C40,2022,29436
1111,Honda,Fit,2014,5366
1112,Infiniti,M35,2010,5000
1113,Infiniti,QX60,2024,43714
1114,Ford,Expedition,2022,21827
1115,Infiniti,QX60,2023,33813
1116,Citroën,Jumpy,2011,5000
1117,Jeep,Patriot,2012,5000
1118,Toyota,Tacoma,2017,11444
1119,Peugeot,Boxer,2024,14508
1120,Land Rover,LR4,2020,38221
1121,Mitsubishi,Eclipse Cross,2017,9204
1122,Peugeot,3008,2011,5000
1123,Dodge,Dart,2020,21640
1124,Mercedes-Benz,GLS,2017,21763
1125,Peugeot,Partner,2012,5000
1126,Land Rover,Range Rover Sport,2012,5000
1127,Lexus,RX,2022,32750
1128,Volkswagen,Tiguan,2019,13403
1129,Mitsubishi,L200,2017,9626
1130,Land Rover,Evoque,2016,22717
1131,Renault,Sandero,2023,15128
1132,Lexus,LS,2011,5000
1133,Peugeot,5008,2015,5000
1134,Toyota,Tacoma,2012,5000
1135,Peugeot,408,2010,5000
1136,Mazda,MX-5 Miata,2012,5000
1137,Nissan,Frontier,2019,11566
1138,Land Rover,Evoque,2019,33416
1139,Mercedes-Benz,C-Class,2017,19418
1140,Kia,Telluride,2018,8098
1141,BMW,X1,2023,41520
1142,Acura,TLX,2021,25119
1143,Honda,Passport,2023,24813
1144,Honda,Insight,2023,19738
1145,Audi,R8,2024,45826
1146,Jeep,Grand Cherokee,2017,12804
1147,Subaru,WRX,2020,19843
1148,Audi,Q7,2017,20561
1149,Subaru,Tribeca,2023,20713
1150,BMW,530i,2022,43304
1151,Mitsubishi,Pajero,2016,6636
1152,Volvo,V40,2019,20844
1153,Citroën,C5 Aircross,2011,5000
1154,BMW,530i,2013,5727
1155,Infiniti,QX80,2018,22742
1156,Mazda,RX-8,2020,16588
1157,Acura,TSX,2024,32384
1158,Kia,Forte,2020,13982
1159,Toyota,RAV4,2012,5000
1160,Audi,A8,2011,5000
1161,Chevrolet,Malibu,2013,5000
1162,Volvo,S40,2016,16067
1163,Subaru,Crosstrek,2017,12102
1164,Land Rover,Discovery Sport,2017,29572
1165,Fiat,Cronos,2011,5000
1166,Audi,Q5,2013,5230
1167,Mitsubishi,Lancer,2010,5000
1168,Infiniti,Q60,2019,22447
1169,Ford,F-150,2023,18571
1170,Acura,NSX,2024,34107
1171,Dodge,Nitro,2012,5000
1172,Renault,Sandero,2018,8637
1173,Hyundai,Venue,2020,12464
1174,Mazda,Mazda3,2019,13791
1175,Honda,Fit,2013,5000
1176,Toyota,Yaris,2018,14128
1177,Fiat,Strada,2022,14436
1178,Citroën,DS3,2013,5000
1179,Acura,MDX,2019,20704
1180,Audi,TT,2023,37216
1181,Ford,Mustang,2012,5000
1182,Dodge,Challenger,2012,5000
1183,Dodge,Challenger,2024,24150
1184,Land Rover,Discovery,2014,12520
1185,Mercedes-Benz,GLS,2015,12574
1186,BMW,X3,2021,31720
1187,BMW,530i,2019,24419
1188,Fiat,Argo,2020,9065
1189,Fiat,Strada,2018,6742
1190,Honda,CR-V,2024,23044
1191,Nissan,Frontier,2024,22921
1192,Land Rover,Velar,2017,25584
1193,Audi,Q8,2013,5436
1194,Subaru,BRZ,2013,5000
1195,Dodge,Charger,2013,5000
1196,Peugeot,5008,2023,16747
1197,Toyota,Camry,2024,25375
1198,Fiat,500,2012,5000
1199,Nissan,Sentra,2023,17235
1200,Nissan,Versa,2024,21345
1201,Volkswagen,Tiguan,2017,10399
1202,Fiat,Toro,2021,10942
1203,Infiniti,M35,2013,5000
1204,Honda,Civic,2014,5067
1205,Honda,Ridgeline,2024,24865
1206,Dodge,Charger,2013,5000
1207,Hyundai,Sonata,2021,13175
1208,Dodge,Journey,2015,7670
1209,Lexus,GX,2013,5222
1210,Honda,Passport,2015,6681
1211,Lexus,IS,2020,28793
1212,Citroën,C-Elysee,2016,5139
1213,BMW,530i,2011,5000
1214,Audi,A4,2021,33249
1215,Mercedes-Benz,A-Class,2017,22111
1216,Mercedes-Benz,GLE,2015,13083
1217,Subaru,Tribeca,2013,5000
1218,Honda,Pilot,2011,5000
1219,Infiniti,G37,2020,24645
1220,Mazda,Mazda3,2024,19673
1221,Renault,Logan,2011,5000
1222,Mazda,CX-9,2014,5000
1223,Subaru,Ascent,2019,14618
1224,Mitsubishi,Outlander,2018,12448
1225,Hyundai,Palisade,2010,5000
1226,Volvo,XC90,2018,17551
1227,Mercedes-Benz,A-Class,2013,6565
1228,Subaru,BRZ,2010,5000
1229,Infiniti,G37,2015,11130
1230,Renault,Clio,2012,5000
1231,Renault,Oroch,2016,5657
1232,Hyundai,Santa Fe,2010,5000
1233,Lexus,GS,2011,5000
1234,BMW,X7,2013,5729
1235,Dodge,Dart,2018,14139
1236,Acura,Integra,2011,5000
1237,Honda,Civic,2015,7335
1238,Peugeot,308,2024,18832
1239,Kia,Soul,2024,15338
1240,Fiat,Toro,2022,11726
1241,Mercedes-Benz,GLS,2015,15120
1242,Honda,Insight,2019,12505
1243,Hyundai,Tucson,2020,13053
1244,Renault,Megane,2020,11429
1245,Mazda,CX-5,2021,17983
1246,Fiat,Argo,2011,5000
1247,Hyundai,Tucson,2019,12126
1248,Toyota,Tacoma,2014,5000
1249,Jeep,Cherokee,2023,24481
1250,Honda,Accord,2023,21053
1251,BMW,X5,2023,43663
1252,Infiniti,M35,2020,28992
1253,Mercedes-Benz,A-Class,2015,13653
1254,Audi,Q8,2019,29586
1255,Lexus,LX,2011,5000
1256,Volvo,C40,2023,38183
1257,Volkswagen,Jetta,2010,5000
1258,Ford,F-150,2011,5000
1259,Mitsubishi,Lancer,2022,17455
1260,Mazda,RX-8,2012,5000
1261,Peugeot,5008,2016,5379
1262,Citroën,C4,2015,5000
1263,Chevrolet,Blazer,2020,13280
1264,Subaru,Crosstrek,2017,11061
1265,Chevrolet,Colorado,2012,5000
1266,Volkswagen,Jetta,2012,5000
1267,Lexus,NX,2016,12906
1268,Infiniti,G35,2020,29714
1269,Honda,Pilot,2015,6254
1270,Land Rover,Evoque,2015,15212
1271,Land Rover,Range Rover,2024,62167
1272,Volkswagen,Atlas,2016,8498
1273,Peugeot,408,2017,8098
1274,Acura,NSX,2022,29936
1275,Lexus,GX,2018,19357
1276,Kia,Sorento,2021,13593
1277,BMW,M3,2010,5000
1278,Volvo,V60,2015,12001
1279,Kia,Carnival,2023,18244
1280,Dodge,Nitro,2017,13661
1281,Fiat,Toro,2024,16985
1282,Acura,Integra,2024,40242
1283,Renault,Oroch,2016,6607
1284,Toyota,Tacoma,2019,13834
1285,Dodge,Charger,2017,12864
1286,Nissan,Pathfinder,2021,16667
1287,Mercedes-Benz,A-Class,2017,21052
1288,Audi,A3,2023,47517
1289,BMW,X3,2018,21419
1290,Acura,Integra,2019,21582
1291,Acura,Legend,2011,5000
1292,Ford,Expedition,2022,18866
1293,Mazda,Mazda6,2020,16195
1294,Volkswagen,Jetta,2023,20585
1295,Mercedes-Benz,S-Class,2011,5000
1296,Mitsubishi,Outlander,2015,5566
1297,Volvo,S60,2020,29299
1298,Mercedes-Benz,GLS,2018,22325
1299,BMW,740i,2010,5000
1300,Infiniti,M35,2019,21487
1301,Dodge,Challenger,2020,17375
1302,Land Rover,Discovery,2012,5000
1303,Honda,Accord,2016,9542
1304,Mitsubishi,ASX,2024,19326
1305,Lexus,NX,2016,17076
1306,Infiniti,G35,2019,22384
1307,Peugeot,408,2020,11702
1308,Acura,RLX,2022,30681
1309,Mercedes-Benz,AMG GT,2023,46559
1310,Citroën,Jumpy,2020,10587
1311,Mazda,Mazda6,2010,5000
1312,Volvo,V40,2011,5000
1313,Acura,ILX,2022,29731
1314,Subaru,XV,2022,24931
1315,Peugeot,208,2024,19014
1316,Honda,Ridgeline,2016,9400
1317,Infiniti,QX80,2010,5000
1318,Citroën,SpaceTourer,2010,5000
1319,Dodge,Magnum,2021,20230
1320,Toyota,Prius,2023,24708
1321,Land Rover,Discovery,2021,47682
1322,Mercedes-Benz,GLS,2020,34385
1323,Kia,Soul,2014,5000
1324,Fiat,Ducato,2015,5000
1325,Acura,RDX,2019,21657
1326,BMW,X7,2019,23154
1327,Chevrolet,Malibu,2022,19044
1328,Citroën,C-Elysee,2019,8459
1329,Renault,Fluence,2023,14247
1330,Dodge,Magnum,2020,20388
1331,Peugeot,Expert,2023,14469
1332,Hyundai,Accent,2017,7156
1333,Nissan,Sentra,2022,17065
1334,Volkswagen,Golf,2019,12673
1335,Mazda,Mazda2,2010,5000
1336,Mercedes-Benz,GLA,2014,11138
1337,Infiniti,QX60,2022,29375
1338,Mazda,CX-5,2023,21919
1339,Chevrolet,Blazer,2013,5000
1340,BMW,Z4,2010,5000
1341,Ford,Mustang,2016,7627
1342,Volvo,S40,2010,5000
1343,Volkswagen,Arteon,2022,18156
1344,Mazda,CX-3,2012,5000
1345,Lexus,RC,2018,22456
1346,Ford,F-150,2017,8858
1347,Volvo,XC40,2017,18975
1348,Honda,HR-V,2022,22440
1349,Jeep,Liberty,2014,5933
1350,Jeep,Gladiator,2021,20975
1351,Mitsubishi,ASX,2020,13667
1352,Land Rover,Freelander,2018,35455
1353,Kia,Forte,2012,5000
1354,Volvo,C40,2012,5000
1355,Audi,Q7,2019,25202
1356,Kia,Sorento,2021,13691
1357,Infiniti,QX60,2014,7935
1358,Acura,ILX,2017,18618
1359,Mazda,Mazda2,2015,5546
1360,Lexus,IS,2015,11782
1361,Chevrolet,Equinox,2014,5000
1362,Mazda,MX-5 Miata,2015,7039
1363,Volkswagen,Atlas,2023,17696
1364,BMW,320i,2015,11993
1365,Acura,NSX,2016,15592
1366,Audi,Q3,2011,5000
1367,Acura,Legend,2018,20206
1368,Land Rover,Range Rover Sport,2015,15215
1369,Volkswagen,ID.4,2021,14966
1370,Dodge,Nitro,2018,16430
1371,Kia,Optima,2012,5000
1372,Renault,Megane,2019,9392
1373,Kia,Soul,2022,13118
1374,Chevrolet,Silverado,2018,13138
1375,Chevrolet,Tahoe,2013,5000
1376,Peugeot,Boxer,2015,5045
1377,Honda,Pilot,2022,22265
1378,Peugeot,2008,2016,5295
1379,Chevrolet,Suburban,2011,5000
1380,Nissan,Kicks,2023,16855
1381,Jeep,Grand Cherokee,2015,7897
1382,BMW,M3,2022,35812
1383,Audi,A8,2019,26823
1384,Volvo,C40,2021,26698
1385,Jeep,Wrangler,2013,5000
1386,Jeep,Wagoneer,2016,11307
1387,Land Rover,LR4,2013,6152
1388,Ford,Focus,2021,16026
1389,Peugeot,208,2016,6658
1390,Toyota,Prius,2012,5000
1391,Hyundai,Venue,2012,5000
1392,Mazda,CX-5,2022,20206
1393,Volkswagen,Taos,2017,10200
1394,Renault,Logan,2024,17137
1395,Mitsubishi,3000GT,2010,5000
1396,Dodge,Charger,2021,22804
1397,Acura,ILX,2014,6622
1398,Land Rover,Discovery Sport,2018,34975
1399,Land Rover,Discovery,2012,5000
1400,Ford,Focus,2016,8222
1401,Infiniti,Q50,2015,11642
1402,Renault,Oroch,2024,16525
1403,Subaru,Ascent,2018,13778
1404,Chevrolet,Camaro,2015,5626
1405,Mitsubishi,Eclipse Cross,2020,15365
1406,Nissan,Kicks,2012,5000
1407,Mercedes-Benz,AMG GT,2020,37693
1408,Chevrolet,Blazer,2013,5000
1409,Mitsubishi,ASX,2019,11839
1410,Chevrolet,Silverado,2023,22828
1411,Citroën,Berlingo,2020,12205
1412,Nissan,Frontier,2014,5000
1413,Subaru,BRZ,2019,16671
1414,Jeep,Gladiator,2011,5000
1415,Kia,Soul,2012,5000
1416,BMW,X7,2017,20880
1417,Honda,Insight,2015,6890
1418,Audi,Q7,2019,30419
1419,Subaru,BRZ,2015,6506
1420,Jeep,Patriot,2010,5000
1421,Kia,Sportage,2020,10930
1422,Renault,Captur,2011,5000
1423,Subaru,Forester,2016,9520
1424,Toyota,Tacoma,2023,19655
1425,Fiat,Toro,2010,5000
1426,Nissan,Rogue,2021,12991
1427,Honda,Pilot,2016,9326
1428,Volkswagen,Atlas,2024,23047
1429,Mitsubishi,Montero,2021,17640
1430,Fiat,Punto,2019,10262
1431,BMW,X7,2016,17717
1432,Ford,Focus,2011,5000
1433,Ford,Fiesta,2017,9466
1434,Mercedes-Benz,GLS,2017,23093
1435,Ford,Ranger,2018,12807
1436,Land Rover,Range Rover Sport,2024,52631
1437,Chevrolet,Camaro,2019,11541
1438,Kia,Forte,2010,5000
1439,Acura,RSX,2011,5000
1440,Jeep,Cherokee,2014,5188
1441,Honda,Odyssey,2010,5000
1442,Peugeot,308,2023,17571
1443,Citroën,C4 Cactus,2018,8252
1444,Land Rover,Range Rover,2011,5000
1445,Hyundai,Sonata,2024,17835
1446,Peugeot,408,2016,6854
1447,Mazda,CX-3,2019,13991
1448,Volkswagen,Beetle,2011,5000
1449,Mitsubishi,L200,2022,16556
1450,Subaru,Forester,2017,10364
1451,Mazda,CX-30,2013,5000
1452,Honda,Civic,2016,8644
1453,Volvo,XC90,2019,20075
1454,Kia,Rio,2024,16016
1455,Mercedes-Benz,E-Class,2010,5000
1456,Honda,Pilot,2021,17485
1457,Chevrolet,Camaro,2012,5000
1458,Acura,TLX,2019,20767
1459,Acura,RLX,2021,27937
1460,Mazda,CX-9,2018,12015
1461,Acura,TLX,2020,27231
1462,Dodge,Viper,2019,15344
1463,Nissan,Kicks,2015,5914
1464,Honda,Passport,2010,5000
1465,Land Rover,Freelander,2014,12667
1466,Lexus,GS,2017,17143
1467,Infiniti,G37,2022,35156
1468,Dodge,Grand Caravan,2010,5000
1469,Dodge,Grand Caravan,2013,5000
1470,Hyundai,Palisade,2016,7015
1471,Volvo,XC40,2024,40346
1472,Volkswagen,Golf,2021,15105
1473,Jeep,Compass,2019,19397
1474,Jeep,Cherokee,2017,13114
1475,Mercedes-Benz,GLE,2016,17262
1476,Renault,Clio,2010,5000
1477,Toyota,4Runner,2012,5000
1478,Fiat,Cronos,2020,10125
1479,Toyota,4Runner,2013,5000
1480,Subaru,Forester,2024,25112
1481,Hyundai,Sonata,2012,5000
1482,Ford,Mustang,2010,5000
1483,Mazda,RX-8,2016,7554
1484,Chevrolet,Camaro,2014,5000
1485,Lexus,LX,2013,5451
1486,Ford,Mustang,2020,16378
1487,Mercedes-Benz,A-Class,2021,35251
1488,Chevrolet,Camaro,2017,8549
1489,Subaru,BRZ,2012,5000
1490,Mercedes-Benz,E-Class,2011,5000
1491,Fiat,Mobi,2024,16418
1492,Jeep,Wrangler,2011,5000
1493,Ford,F-150,2017,9275
1494,Honda,Insight,2013,5000
1495,Mitsubishi,L200,2019,11098
1496,Renault,Megane,2023,13097
1497,Dodge,Durango,2018,14716
1498,Mazda,MX-5 Miata,2024,19823
1499,Peugeot,Boxer,2024,16997
1500,Mazda,CX-5,2019,14998
1501,Fiat,Cronos,2013,5000
1502,Dodge,Dart,2019,16367
1503,BMW,X3,2019,30763
1504,Chevrolet,Cruze,2024,20394
1505,Nissan,Rogue,2012,5000
1506,Toyota,Sienna,2013,5000
1507,Subaru,Impreza,2011,5000
1508,Nissan,Titan,2022,17007
1509,Kia,Sportage,2015,5427
1510,Hyundai,Ioniq,2019,10626
1511,Citroën,Berlingo,2023,16619
1512,Dodge,Challenger,2011,5000
1513,Volvo,S90,2010,5000
1514,Citroën,C-Elysee,2023,17415
1515,Acura,RDX,2019,23869
1516,Nissan,Kicks,2011,5000
1517,Mercedes-Benz,GLC,2014,8544
1518,Volvo,S90,2019,24625
1519,Honda,Odyssey,2021,20159
1520,Toyota,Sienna,2014,5000
1521,Peugeot,508,2018,8236
1522,Peugeot,308,2018,9715
1523,Mercedes-Benz,GLA,2023,39840
1524,Jeep,Wagoneer,2021,21314
1525,Fiat,Ducato,2014,5000
1526,Mercedes-Benz,A-Class,2019,33896
1527,Acura,TSX,2019,24460
1528,Mercedes-Benz,GLC,2013,5788
1529,Infiniti,QX80,2024,41173
1530,Mercedes-Benz,E-Class,2023,45349
1531,Jeep,Gladiator,2017,12381
1532,Mazda,MX-5 Miata,2020,14889
1533,Audi,Q7,2024,50579
1534,Kia,Seltos,2017,7122
1535,Hyundai,Palisade,2015,6057
1536,Kia,Telluride,2013,5000
